Date,Open,High,Low,Close,Turnover,Volume
2020/3/5,11609.85,11837.37,11576.16,11827.95,676,23562.89
2020/3/6,11791.68,12049.02,11775.41,11843.13,571,18758.92
2020/3/9,11698.59,11766.71,11526.33,11533.04,667,21415.51
2020/3/10,11475.47,11664.75,11273.96,11609.93,671,20638.03
2020/3/11,11672.96,11707.22,11461.42,11461.42,469,14473.44
2020/3/12,11324.51,11383.23,11018.81,11075.23,514,17305.14
2020/3/13,10522.01,10995.17,10502.94,10869.29,613,19931.75
2020/3/16,10935.41,10984.74,10482.24,10514.61,627,20504.84
2020/3/17,10556.81,10717.36,10138.16,10499.96,639,20353.53
2020/3/18,10600.92,10818.52,10412.5,10412.5,614,20288.55
2020/3/19,10406.79,10492.13,10023.2,10256.08,697,21800.23
2020/3/20,10375.15,10533.29,10306.02,10487.31,625,18449.81
2020/3/23,10308.35,10511.37,10274.92,10339.61,610,19213.62
2020/3/24,10496,10686.62,10452.45,10682.41,604,19309.53
2020/3/25,10930.87,11074.91,10819.4,11047.9,647,21413.48
2020/3/26,10994.37,11267.12,10936.22,11241.59,696,21519.34
2020/3/27,11423.51,11529.15,11208.36,11213.82,667,23617.58
2020/3/30,11109.13,11269.03,10956.65,11093.68,581,19634.48
2020/3/31,11154.97,11262.93,11088.58,11246.98,557,18748.5
2020/4/1,11210.25,11255.75,11045.43,11076.97,486,15705.66
2020/4/2,11067.17,11240.55,10980.79,11240.55,429,13873.7
2020/4/3,11224.17,11482.64,11217.23,11358.48,527,16692.94
2020/4/7,11487.98,11665.58,11440.31,11656.9,668,20290.69
2020/4/8,11590.06,11710.71,11485.78,11607.43,632,18701.45
2020/4/9,11642.92,11974.45,11618.51,11910.7,633,20085.65
2020/4/10,11890.59,12143.36,11755.81,11782.99,588,18849.38
2020/4/13,11802.7,11930.44,11716.77,11833.42,427,13177.91
2020/4/14,11928.93,12057.61,11730.7,12055.31,564,19307.06
2020/4/15,12007.22,12138.27,11921.77,11953.98,793,20365.5
2020/4/16,11870.23,12067.03,11836.82,11999.19,605,18221.21
2020/4/17,12021.45,12061.95,11889.31,11912.38,558,17736.3
2020/4/20,11938.79,12056.93,11931.74,11996.35,456,15933.01
2020/4/21,12009.52,12009.52,11775.45,11876.39,475,15829.7
2020/4/22,11846,12118.16,11756.83,12118.1,425,16274.96
2020/4/23,12187.01,12284.93,12058.46,12116.39,699,21784.37
2020/4/24,12118.19,12124.04,11898.56,11925.97,740,18984.15
2020/4/27,11997.99,12234.18,11857.91,12160.89,609,19902.15
2020/4/28,12167.84,12236.01,11942.32,12190.36,625,20017.04
2020/4/29,12176.15,12274.77,11959.65,12029.73,471,16585.21
2020/4/30,12033.64,12040.19,11924.78,11966.73,545,19067.92
2020/5/6,11877.39,12226.92,11855.03,12226.92,602,20294.69
2020/5/7,12226.85,12278.74,12133.76,12230.51,483,15106.12
2020/5/8,12264.28,12422.58,12221.71,12328.33,524,16480.7
2020/5/11,12373.26,12398.99,12076.71,12132.91,535,18564.06
2020/5/12,12132.37,12303.84,12106.33,12299.55,532,17186.22
2020/5/13,12299.05,12488.44,12246.21,12471.25,510,18026.44
2020/5/14,12426.3,12510.24,12372.48,12456.99,466,15344.62
2020/5/15,12500.67,12536.59,12281.61,12321.41,421,15598.44
2020/5/18,12314.08,12630.65,12246.03,12544.36,476,18559.07
2020/5/19,12709.25,12808.39,12556.7,12632.97,439,16251.41
2020/5/20,12649.42,12695.43,12425.44,12483.81,455,16735.52
2020/5/21,12530.56,12775.06,12506.03,12608.81,479,18010.98
2020/5/22,12611.04,12611.24,12190.06,12244.03,485,17583.79
2020/5/25,12284.05,12423.5,12216.67,12404.51,405,13475.31
2020/5/26,12466.68,12643.66,12409.86,12630.29,450,15252.46
2020/5/27,12624.13,12624.13,12330.8,12382.74,433,15682.39
2020/5/28,12369.96,12376.45,12026.11,12196.48,464,15674.76
2020/5/29,12164.26,12392.25,12128.94,12375.11,398,14209.07
2020/6/1,12464.5,12619.52,12444.61,12587.52,474,16749.09
2020/6/2,12562.2,12562.2,12419.33,12473.16,433,14150.87
2020/6/3,12515.47,12644.3,12507.03,12548.52,529,19333.74
2020/6/4,12578.27,12665.7,12494.88,12658.98,434,15985.11
2020/6/5,12640.4,12748.17,12553.4,12744.4,377,14636.73
2020/6/8,12796.23,12806.25,12513.24,12567.56,446,17581.13
2020/6/9,12573.84,12812.47,12568.56,12807.75,500,18083.38
2020/6/10,12813.53,13078.86,12801.68,13034.75,490,19446.78
2020/6/11,13027.65,13106.67,12868.75,12957.05,510,17672.11
2020/6/12,12741.68,13170.16,12741.68,13113.81,562,20582.66
2020/6/15,13179.69,13313.16,13080.76,13110.4,484,19726.61
2020/6/16,13207.52,13428.51,13139.62,13428.51,550,20687.27
2020/6/17,13464.28,13766.07,13461.96,13739.48,675,26086.15
2020/6/18,13730.64,13730.64,13400.14,13571.27,547,21650.58
2020/6/19,13586.14,14046.03,13586.14,14033.81,581,24890.36
2020/6/22,14039.29,14299.45,13992.25,14116.48,544,22980.15
2020/6/23,14091.83,14399.13,14025.02,14398.92,516,24159.09
2020/6/24,14374.37,14434.56,14057.63,14234.8,515,25444.31
2020/6/29,14238.34,14335.34,14168.05,14306.38,584,25184.46
2020/6/30,14376.34,14503.46,14329.59,14444.99,591,24857.1
2020/7/1,14482.66,14482.66,14042.98,14273.87,639,29603.91
2020/7/2,14260.18,14373.18,14071.65,14184.77,683,32431.09
2020/7/3,14147.7,14397.54,14005.13,14397.54,733,31653.2
2020/7/6,14377.76,14466.28,14218.34,14456.06,918,39557.61
2020/7/7,14383.75,14987.75,14311.85,14868.11,930,43125.79
2020/7/8,14893.95,15022.16,14790.78,14886.54,712,31230.74
2020/7/9,14864.9,15388.6,14849.97,15360.47,935,37983.29
2020/7/10,15338.85,15688.85,15281.22,15545.88,859,35140.58
2020/7/13,15599.45,16194.34,15599.45,16142.56,929,40948.86
2020/7/14,16228.47,16398.01,15859.54,16221.45,980,42860.14
2020/7/15,16288.9,16948.53,16279.61,16509.43,1058,50152.16
2020/7/16,16499.16,16526.99,15384.64,15419.6,1063,49511.56
2020/7/17,15391.22,15849.21,15323.8,15604.21,708,33625.27
2020/7/20,15725.33,15805.44,15165.24,15553.1,714,30690.78
2020/7/21,15597.63,16226.24,15532.05,16167.23,731,35380.03
2020/7/22,16074.6,16485.88,15951.22,16283.88,664,33502.7
2020/7/23,16156.45,16699.51,16148.11,16688.72,890,45623.98
2020/7/24,16484.24,16518.52,15658.39,15764.01,971,49724.14
2020/7/27,15855.78,16235.5,15855.78,16125.59,658,35325.07
2020/7/28,16249.49,16370.74,15813.05,16100.72,708,38739.9
2020/7/29,16015.58,16758.29,16001.72,16751.1,793,43864.06
2020/7/30,16871.38,17300.71,16690.33,16825.17,975,52910.04
2020/7/31,16775.06,17091.4,16578.83,17059.75,879,48923.34
2020/8/3,17199.42,17467.77,16927.39,17446.2,990,56615.87
2020/8/4,17398.35,17931.17,17251.96,17366.93,1185,64699.47
2020/8/5,17156.22,17661.71,16976.54,17606.91,913,50854.46
2020/8/6,17658.94,17835.26,16951.74,17107.6,1004,61719.11
2020/8/7,17188.37,17331.24,16518.68,16877.23,964,56801.85
2020/8/10,16790.92,16945.77,16314.44,16772.62,819,45817.36
2020/8/11,16765.41,17068.82,16584.79,16616.4,721,39479.12
2020/8/12,16630.33,16682.13,15797.65,16084.2,777,44658.75
2020/8/13,16177.39,16196.4,15715.39,15766.2,593,35902.06
2020/8/14,15741.1,15976.89,15522.17,15901.31,528,30586.95
2020/8/17,15976.53,16147.06,15783.08,16129.98,629,33753.16
2020/8/18,16147.35,16484.05,16147.35,16354.08,558,32791.87
2020/8/19,16347.63,16347.63,15817.51,15820.44,642,34896.39
2020/8/20,15715.16,15901.15,15559.15,15695.34,512,25791.67
2020/8/21,15856.22,15989.37,15712.57,15832.61,526,25777.07
2020/8/24,15932.93,15937.15,15481.27,15878.33,578,28731.82
2020/8/25,15919.34,16106.28,15893.15,15947.52,464,23399.12
